Group,Name,Symbol,Units,Citation 500 Series,MDAT 30,MDAT 50,F-28,MDAT 70,DC-9-10,BAC-111,DC-9-30,737-200,727-100,727-200,707-320,DC-8-55,DC-8-62,DC-10-10,L-1011,DC-10-40,747,SCAT-15,C-130A,C130E,KC-135A,C-133B,C-141A,C-5A,AST
wing,wing_system_weight,W_1,lbs,1020,3143,4360,7526,5910,9366,9817,11391,11164,17682,18529,28647,34909,36247,48990,47401,57748,88741,83940,10593,11647,24719,27064,34262,81782,20560
wing,takeoff_gross,TOGW,lbs,11500,34480,46850,62000,61000,86300,99650,108000,104000,161000,175000,312000,325000,335000,430000,430000,565000,775000,631000,108000,155000,275000,286000,316100,728000,163500
wing,zero_fuel_weight,ZFW,lbs,8900,27450,37760,47600,49460,71800,81000,87000,85000,118000,140000,190000,224000,195000,335000,325000,391000,526500,364550,87290,107890,190380,215000,204500,542800,143000
wing,trap_area,S_W,sq_ft,269,342,464,822,605,934,1014,1001,964,1520,1520,2892,2883,2927,3550,3456,3610,4960,10744,1808,1808,2453,2673,3000,6200,1890
wing,wing_loading,W/S,lb/sq_ft,43,101,101,75,101,92,98,108,108,106,115,108,113,114,121,124,157,156,59,60,86,112,107,105,117,87
wing,aspect_ratio,AR,-,7.1,9,9,7.27,9,8.6,8.6,8.7,7.8,7.7,7.7,7.3,7,7.5,6.8,6.9,7.2,7.7,1.6,9.7,9.7,7,12.1,8.5,7.7,7
wing,taper_ratio,lambda,-,0.39,0.3,0.3,0.361,0.3,0.254,0.333,0.204,0.34,0.372,0.372,0.3,0.23,0.2,0.3,0.298,0.273,0.356,0.096,0.44,0.44,0.331,0.226,0.335,0.338,0.3
wing,average_t_to_c,t/c,-,0.123,0.143,0.143,0.129,0.143,0.116,0.112,0.111,0.133,0.123,0.123,0.12,0.111,0.111,0.112,0.108,0.112,0.122,0.029,0.147,0.147,0.148,0.163,0.121,0.119,0.1
wing,sweep_ang_qt_chord,Omega C/4,degrees,1.4,4.9,4.9,16,4.9,24,22.2,24.5,25,32,32,35,30.6,30.6,35,35,35,37.5,0,0,0,35,0,25,24.5,25
wing,ultimate_load_factor,U,-,6.3,3.75,3.75,5.14,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,4.5,3.75,3,3.75,3.75,3.75,5.1
wing,wing_weight_index,I_W,-,207,500,796,1656,1188,2814,3512,3759,2740,6192,7018,14055,14557,15050,24600,25258,33166,59172,14215,5007,5550,7909,14703,16232,50237,6583
tail,tail_system_weight,W_2,lbs,288,1010,1193,1477,1505,2619,2470,2790,2777,4148,4142,6004,4952,4930,9798,8570,10533,11958,8590,3190,3409,4958,6147,5745,12344,8730
tail,horiz_plus_elevator,W_2A,lbs,173,405,500,809,645,1527,1610,1635,1606,1999,1921,4043,3212,3190,7593,6848,8306,8017,5320,2106,2250,3192,3721,3155,6788,5127
tail,vert_plus_rudder,W_2B,lbs,115,605,693,668,860,1092,860,1155,1171,2149,2221,1961,1740,1740,2205,1722,2227,3941,3270,1084,1159,1766,2426,2590,5556,2602
tail,horiz_area,S_h,sq_ft,72,112,138,210,177,276,258,276,312,377,377,625,559,559,1338,1282,1338,1470,496,545,545,500,801,483,966,730
tail,vert_area,S_v,sq_ft,51,104,119,132,147,161,180,161,224,384,384,312,352,352,287,550,287,830,230,300,300,312,537,416,961,648
body,body_weight,W_3,lbs,930,4276,5692,6909,7118,9452,11274,11118,11920,17589,22415,22299,22246,23704,44790,49432,46522,68452,54322,14045,14241,17850,32119,28578,115216,29025
body,passengers_coach,N_p,people,8,30,50,60,70,80,99,110,115,138,158,162,165,189,330,330,308,435,234,3339,3339,4420,6900,5096,16507,4563
